"Route","Url","Status","EffectiveUrl","ElapsedMs"
"/","https://www.emersoneims.com/","200","https://www.emersoneims.com/","945"
"/about-us","https://www.emersoneims.com/about-us","200","https://www.emersoneims.com/about-us","569"
"/api/health","https://www.emersoneims.com/api/health","200","https://www.emersoneims.com/api/health","620"
"/brands","https://www.emersoneims.com/brands","200","https://www.emersoneims.com/brands","583"
"/careers","https://www.emersoneims.com/careers","200","https://www.emersoneims.com/careers","585"
"/contact","https://www.emersoneims.com/contact","200","https://www.emersoneims.com/contact","573"
"/diagnostics","https://www.emersoneims.com/diagnostics","200","https://www.emersoneims.com/diagnostics","592"
"/diagnostic-suite","https://www.emersoneims.com/diagnostic-suite","200","https://www.emersoneims.com/diagnostic-suite","552"
"/generators","https://www.emersoneims.com/generators","200","https://www.emersoneims.com/generators","598"
"/generators/case-studies","https://www.emersoneims.com/generators/case-studies","200","https://www.emersoneims.com/generators/case-studies","568"
"/generators/maintenance","https://www.emersoneims.com/generators/maintenance","200","https://www.emersoneims.com/generators/maintenance","594"
"/generators/used","https://www.emersoneims.com/generators/used","200","https://www.emersoneims.com/generators/used","556"
"/ke/nairobi","https://www.emersoneims.com/ke/nairobi","200","https://www.emersoneims.com/ke/nairobi","1099"
"/kenya/nairobi","https://www.emersoneims.com/kenya/nairobi","200","https://www.emersoneims.com/kenya/nairobi","901"
"/manifest.webmanifest","https://www.emersoneims.com/manifest.webmanifest","200","https://www.emersoneims.com/manifest.webmanifest","399"
"/privacy","https://www.emersoneims.com/privacy","200","https://www.emersoneims.com/privacy","566"
"/robots.txt","https://www.emersoneims.com/robots.txt","200","https://www.emersoneims.com/robots.txt","1083"
"/service","https://www.emersoneims.com/service","200","https://www.emersoneims.com/service","567"
"/service/generators","https://www.emersoneims.com/service/generators","200","https://www.emersoneims.com/service/generators","608"
"/services","https://www.emersoneims.com/services","200","https://www.emersoneims.com/services","541"
"/sitemap.xml","https://www.emersoneims.com/sitemap.xml","200","https://www.emersoneims.com/sitemap.xml","438"
"/solar","https://www.emersoneims.com/solar","200","https://www.emersoneims.com/solar","554"
"/solution","https://www.emersoneims.com/solution","200","https://www.emersoneims.com/solution","659"
"/solution/generators","https://www.emersoneims.com/solution/generators","200","https://www.emersoneims.com/solution/generators","534"
"/solution/solar","https://www.emersoneims.com/solution/solar","200","https://www.emersoneims.com/solution/solar","581"
"/terms","https://www.emersoneims.com/terms","200","https://www.emersoneims.com/terms","598"
"/test-minimal","https://www.emersoneims.com/test-minimal","404","https://www.emersoneims.com/test-minimal","622"
"/test-page","https://www.emersoneims.com/test-page","404","https://www.emersoneims.com/test-page","595"
