"Route","Url","Status","EffectiveUrl","ElapsedMs","BadGlyphCount","BadGlyphSample"
"/","https://www.emersoneims.com/","200","https://www.emersoneims.com/","736","0",""
"/about-us","https://www.emersoneims.com/about-us","200","https://www.emersoneims.com/about-us","574","0",""
"/api/health","https://www.emersoneims.com/api/health","200","https://www.emersoneims.com/api/health","605","0",""
"/brands","https://www.emersoneims.com/brands","200","https://www.emersoneims.com/brands","565","0",""
"/careers","https://www.emersoneims.com/careers","200","https://www.emersoneims.com/careers","579","0",""
"/contact","https://www.emersoneims.com/contact","200","https://www.emersoneims.com/contact","609","0",""
"/diagnostics","https://www.emersoneims.com/diagnostics","200","https://www.emersoneims.com/diagnostics","648","0",""
"/diagnostic-suite","https://www.emersoneims.com/diagnostic-suite","200","https://www.emersoneims.com/diagnostic-suite","568","0",""
"/generators","https://www.emersoneims.com/generators","200","https://www.emersoneims.com/generators","618","0",""
"/generators/case-studies","https://www.emersoneims.com/generators/case-studies","200","https://www.emersoneims.com/generators/case-studies","568","0",""
"/generators/maintenance","https://www.emersoneims.com/generators/maintenance","200","https://www.emersoneims.com/generators/maintenance","600","0",""
"/generators/used","https://www.emersoneims.com/generators/used","200","https://www.emersoneims.com/generators/used","582","0",""
"/ke/nairobi","https://www.emersoneims.com/ke/nairobi","200","https://www.emersoneims.com/ke/nairobi","1201","0",""
"/kenya/nairobi","https://www.emersoneims.com/kenya/nairobi","200","https://www.emersoneims.com/kenya/nairobi","945","0",""
"/manifest.webmanifest","https://www.emersoneims.com/manifest.webmanifest","200","https://www.emersoneims.com/manifest.webmanifest","419","0",""
"/privacy","https://www.emersoneims.com/privacy","200","https://www.emersoneims.com/privacy","532","0",""
"/robots.txt","https://www.emersoneims.com/robots.txt","200","https://www.emersoneims.com/robots.txt","1164","0",""
"/service","https://www.emersoneims.com/service","200","https://www.emersoneims.com/service","586","0",""
"/service/generators","https://www.emersoneims.com/service/generators","200","https://www.emersoneims.com/service/generators","632","0",""
"/services","https://www.emersoneims.com/services","200","https://www.emersoneims.com/services","635","0",""
"/sitemap.xml","https://www.emersoneims.com/sitemap.xml","200","https://www.emersoneims.com/sitemap.xml","393","0",""
"/solar","https://www.emersoneims.com/solar","200","https://www.emersoneims.com/solar","548","0",""
"/solution","https://www.emersoneims.com/solution","200","https://www.emersoneims.com/solution","654","0",""
"/solution/generators","https://www.emersoneims.com/solution/generators","200","https://www.emersoneims.com/solution/generators","599","0",""
"/solution/solar","https://www.emersoneims.com/solution/solar","200","https://www.emersoneims.com/solution/solar","595","0",""
"/terms","https://www.emersoneims.com/terms","200","https://www.emersoneims.com/terms","596","0",""
"/test-minimal","https://www.emersoneims.com/test-minimal","404","https://www.emersoneims.com/test-minimal","615","0",""
"/test-page","https://www.emersoneims.com/test-page","404","https://www.emersoneims.com/test-page","600","0",""
